,XTSLA,DCOM,CLNE,FNKO,CUBI,ANF,MOV,TLYS,MOD,TILE,CASH,COWN,SCHN,ODP,MYRG,ATI,HIBB,BGCP,HWC,WCC,TBK,TITN,KALU,ASIX,NESR,KNL,VNDA,HSII,HAFC,UFS,SITC,CRS,AOSL,XHR,AMKR,HAYN,DXPE,AKR,SEM,GMS,MSBI,ETH,PPBI,FFIC,VRA,HCI,VLY,URBN,EBSB,KRG,CMTL,TCBI,RES,APOG,SASR,DAN,HZO,XPER,FFBC,UFI,TOWN,REVG,CNOB,IIIN,BKU,NSIT,CATY,PFC,CPF,PIPR,INN,PFS,ZUMZ,EME,LBAI,SCHL,AVNT,SBCF,FFWM,FBMS,TBI,AIMC,FRME,SGH,ARCB,MEI,IBCP,NPO,HOPE,TCBK,NFBK,BECN,UCBI,KRNY,FULT,OFG,ISBC,WASH,HTBK,DCO,LPG,SP,SFNC,AUB,BANC,EFSC,HBNC,UBSI,FBP,PRIM,NTB,CXP,STBA,MATX,BMTC,SSB,IBTX,FHI,CFB,MLHR,RCII,BRKL,WIRE,STRL,HOMB,CMC,GLDD,BUSE,PEBO,RDN,ANDE,WRLD,MLI,MATW,ABTX,SIGI,MTX,WSFS,SPNT,CMCO,SCS,SRCE,PQG,INT,ACCO,BANF,ESGR,GSBC,THR,CNO,WAFD,TRMK,AEL,B,CTBI,GBX,CNX,FDP,SANM,BV,VSH,COLB,CCS,HMST,PBH,BCC,BHE,SR,UTL,BXS,PDM,FUL,EIG,SOI,KN,HOFT,PRA,KELYA,TSC,HNI,SBRA,WOR,ACA,NTCT,INDB,TMP,NX,RUSHA,MHO,POWL,SPWH,NWE,TTMI,THFF,ONB,PFBC,DHT,UFCS,AVA,BKH,WNC,RGP,NMIH,CHCO,HFWA,NBTB,STC,TRST,ABM,TPH,GABC,NCBS,CVLG,ECVT,KAR,AAWW,SPTN,ETD,HCC,LAUR,EZPW,HMN,SUM
07/09/2021,2.23,0.94,0.93,0.87,0.84,0.82,0.78,0.67,0.67,0.64,0.64,0.63,0.62,0.61,0.6,0.6,0.59,0.59,0.58,0.58,0.58,0.57,0.56,0.56,0.56,0.55,0.54,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.31
07/12/2021,2.06,0.93,0.91,0.84,0.84,0.8,0.77,0.66,0.7,0.62,0.62,0.62,0.64,0.6,0.62,0.63,0.62,0.59,0.58,0.59,0.59,0.56,0.56,0.57,0.56,0.55,0.55,0.54,0.53,0.54,0.53,0.55,0.53,0.52,0.51,0.53,0.52,0.52,0.5,0.49,0.51,0.49,0.49,0.5,0.48,0.49,0.49,0.48,0.48,0.47,0.47,0.48,0.47,0.47,0.47,0.47,0.46,0.46,0.45,0.45,0.47,0.47,0.46,0.46,0.46,0.45,0.44,0.44,0.44,0.44,0.45,0.45,0.44,0.46,0.44,0.45,0.46,0.44,0.43,0.44,0.43,0.44,0.44,0.51,0.44,0.43,0.42,0.43,0.43,0.43,0.44,0.44,0.44,0.42,0.42,0.42,0.43,0.42,0.42,0.41,0.41,0.43,0.42,0.43,0.42,0.42,0.42,0.42,0.51,0.41,0.41,0.4,0.41,0.41,0.41,0.42,0.42,0.4,0.4,0.39,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.38,0.39,0.39,0.38,0.4,0.39,0.39,0.39,0.4,0.39,0.39,0.36,0.36,0.37,0.36,0.37,0.36,0.37,0.37,0.37,0.36,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.37,0.36,0.36,0.36,0.37,0.36,0.36,0.36,0.37,0.37,0.35,0.35,0.36,0.35,0.35,0.36,0.34,0.34,0.34,0.35,0.34,0.34,0.35,0.34,0.34,0.33,0.32,0.34,0.33,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.0,0.31,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.36
07/13/2021,2.06,0.93,0.91,0.84,0.84,0.8,0.77,0.66,0.7,0.62,0.62,0.62,0.64,0.6,0.62,0.63,0.62,0.59,0.58,0.59,0.59,0.56,0.56,0.57,0.56,0.55,0.55,0.54,0.53,0.54,0.53,0.55,0.53,0.52,0.51,0.53,0.52,0.52,0.5,0.49,0.51,0.49,0.49,0.5,0.48,0.49,0.49,0.48,0.48,0.47,0.47,0.48,0.47,0.47,0.47,0.47,0.46,0.46,0.45,0.45,0.47,0.47,0.46,0.46,0.46,0.45,0.44,0.44,0.44,0.44,0.45,0.45,0.44,0.46,0.44,0.45,0.46,0.44,0.43,0.44,0.43,0.44,0.44,0.51,0.44,0.43,0.42,0.43,0.43,0.43,0.44,0.44,0.44,0.42,0.42,0.42,0.43,0.42,0.42,0.41,0.41,0.43,0.42,0.43,0.42,0.42,0.42,0.42,0.51,0.41,0.41,0.4,0.41,0.41,0.41,0.42,0.42,0.4,0.4,0.39,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.38,0.39,0.39,0.38,0.4,0.39,0.39,0.39,0.4,0.39,0.39,0.36,0.36,0.37,0.36,0.37,0.36,0.37,0.37,0.37,0.36,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.37,0.36,0.36,0.36,0.37,0.36,0.36,0.36,0.37,0.37,0.35,0.35,0.36,0.35,0.35,0.36,0.34,0.34,0.34,0.35,0.34,0.34,0.35,0.34,0.34,0.33,0.32,0.34,0.33,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.0,0.31,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.36
07/14/2021,1.96,0.93,0.89,0.83,0.87,0.81,0.77,0.65,0.71,0.62,0.64,0.62,0.66,0.61,0.61,0.64,0.62,0.58,0.59,0.6,0.6,0.56,0.57,0.57,0.55,0.53,0.54,0.54,0.54,0.53,0.53,0.56,0.53,0.53,0.51,0.53,0.51,0.52,0.5,0.49,0.51,0.49,0.49,0.5,0.49,0.47,0.49,0.48,0.48,0.47,0.45,0.48,0.47,0.47,0.48,0.48,0.47,0.45,0.46,0.46,0.47,0.48,0.46,0.45,0.47,0.44,0.44,0.44,0.44,0.43,0.45,0.45,0.45,0.46,0.44,0.45,0.46,0.45,0.44,0.44,0.43,0.45,0.44,0.47,0.44,0.43,0.43,0.42,0.44,0.43,0.43,0.44,0.44,0.42,0.43,0.42,0.43,0.43,0.43,0.41,0.4,0.43,0.42,0.43,0.42,0.43,0.42,0.42,0.51,0.41,0.41,0.4,0.41,0.43,0.41,0.42,0.42,0.39,0.39,0.38,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.4,0.39,0.39,0.39,0.39,0.38,0.39,0.36,0.36,0.36,0.36,0.37,0.36,0.37,0.38,0.37,0.36,0.37,0.37,0.38,0.36,0.35,0.36,0.36,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.37,0.34,0.34,0.35,0.35,0.35,0.36,0.33,0.34,0.33,0.34,0.33,0.34,0.35,0.35,0.34,0.34,0.32,0.34,0.33,0.34,0.33,0.33,0.32,0.32,0.0,0.32,0.0,0.32,0.32,0.32,0.31,0.0,0.0,0.32,0.31,0.31,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.24
07/15/2021,1.96,0.94,0.89,0.83,0.9,0.81,0.77,0.65,0.71,0.62,0.66,0.62,0.66,0.61,0.61,0.64,0.62,0.58,0.59,0.6,0.6,0.56,0.57,0.57,0.55,0.53,0.54,0.54,0.56,0.53,0.53,0.56,0.53,0.53,0.51,0.53,0.51,0.53,0.5,0.49,0.51,0.49,0.51,0.5,0.49,0.47,0.49,0.48,0.48,0.47,0.45,0.48,0.47,0.47,0.48,0.48,0.47,0.45,0.49,0.46,0.47,0.48,0.46,0.45,0.49,0.44,0.44,0.44,0.47,0.43,0.45,0.46,0.45,0.46,0.44,0.45,0.46,0.47,0.44,0.44,0.43,0.45,0.44,0.47,0.44,0.43,0.43,0.42,0.46,0.43,0.44,0.44,0.47,0.42,0.43,0.44,0.48,0.43,0.43,0.41,0.4,0.43,0.46,0.43,0.43,0.43,0.42,0.42,0.57,0.41,0.41,0.4,0.44,0.43,0.41,0.42,0.42,0.39,0.39,0.38,0.4,0.42,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.4,0.39,0.39,0.4,0.39,0.38,0.42,0.36,0.36,0.36,0.36,0.37,0.36,0.37,0.38,0.37,0.36,0.37,0.37,0.38,0.36,0.36,0.36,0.36,0.37,0.37,0.36,0.36,0.36,0.36,0.38,0.36,0.39,0.36,0.37,0.34,0.34,0.35,0.36,0.35,0.36,0.35,0.34,0.33,0.34,0.35,0.34,0.35,0.35,0.34,0.34,0.32,0.34,0.35,0.34,0.33,0.33,0.32,0.32,0.0,0.32,0.0,0.32,0.35,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,0.33,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.2
07/16/2021,1.62,0.92,0.84,0.81,0.84,0.8,0.78,0.67,0.72,0.64,0.64,0.63,0.65,0.61,0.63,0.63,0.61,0.59,0.59,0.6,0.6,0.56,0.57,0.59,0.55,0.54,0.52,0.54,0.54,0.53,0.54,0.55,0.52,0.52,0.52,0.52,0.51,0.53,0.5,0.48,0.51,0.49,0.49,0.5,0.49,0.49,0.49,0.49,0.48,0.47,0.44,0.47,0.48,0.46,0.47,0.48,0.48,0.45,0.45,0.48,0.47,0.47,0.47,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.45,0.45,0.44,0.46,0.43,0.44,0.46,0.44,0.44,0.45,0.44,0.45,0.44,0.5,0.45,0.43,0.42,0.42,0.43,0.43,0.43,0.44,0.44,0.42,0.43,0.42,0.43,0.43,0.44,0.41,0.4,0.43,0.42,0.43,0.42,0.42,0.42,0.42,0.51,0.41,0.4,0.41,0.42,0.42,0.41,0.41,0.42,0.4,0.39,0.39,0.4,0.4,0.39,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.4,0.39,0.4,0.39,0.39,0.39,0.39,0.36,0.36,0.37,0.36,0.38,0.37,0.37,0.37,0.37,0.37,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.38,0.37,0.36,0.36,0.35,0.37,0.36,0.35,0.36,0.37,0.36,0.34,0.35,0.35,0.35,0.36,0.36,0.34,0.34,0.35,0.35,0.33,0.33,0.36,0.34,0.34,0.34,0.32,0.34,0.33,0.34,0.33,0.34,0.0,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.0,0.0,0.0,0.32,0.0,0.0,0.31,0.31,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.98000000000002
07/19/2021,1.67,0.92,0.76,0.78,0.86,0.75,0.76,0.63,0.68,0.63,0.65,0.62,0.66,0.6,0.62,0.62,0.58,0.58,0.6,0.6,0.6,0.56,0.56,0.6,0.53,0.54,0.51,0.54,0.56,0.54,0.54,0.55,0.49,0.53,0.52,0.53,0.52,0.53,0.48,0.49,0.51,0.49,0.5,0.53,0.48,0.48,0.49,0.47,0.49,0.47,0.43,0.48,0.43,0.45,0.48,0.49,0.48,0.45,0.47,0.48,0.48,0.47,0.47,0.46,0.46,0.44,0.45,0.45,0.46,0.44,0.45,0.47,0.4,0.46,0.43,0.42,0.46,0.46,0.44,0.46,0.44,0.44,0.45,0.5,0.45,0.42,0.43,0.42,0.45,0.44,0.46,0.44,0.45,0.42,0.44,0.43,0.44,0.43,0.44,0.41,0.42,0.43,0.44,0.44,0.42,0.42,0.43,0.43,0.53,0.41,0.41,0.41,0.43,0.42,0.42,0.42,0.42,0.4,0.41,0.38,0.4,0.41,0.39,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.37,0.41,0.39,0.4,0.4,0.39,0.39,0.41,0.37,0.36,0.36,0.37,0.38,0.37,0.36,0.37,0.4,0.37,0.37,0.37,0.4,0.37,0.36,0.36,0.37,0.38,0.35,0.36,0.36,0.36,0.36,0.37,0.35,0.37,0.37,0.33,0.33,0.36,0.36,0.36,0.36,0.36,0.34,0.33,0.34,0.35,0.35,0.33,0.36,0.34,0.34,0.34,0.32,0.35,0.34,0.34,0.34,0.34,0.32,0.0,0.32,0.33,0.0,0.33,0.33,0.32,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.32,0.0,0.32,0.0,0.32,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.23
07/20/2021,1.67,0.92,0.76,0.78,0.86,0.75,0.76,0.63,0.68,0.63,0.65,0.62,0.66,0.6,0.62,0.62,0.58,0.58,0.6,0.6,0.6,0.56,0.56,0.6,0.53,0.54,0.51,0.54,0.56,0.54,0.54,0.55,0.49,0.53,0.52,0.53,0.52,0.53,0.48,0.49,0.51,0.49,0.5,0.53,0.48,0.48,0.49,0.47,0.49,0.47,0.43,0.48,0.43,0.45,0.48,0.49,0.48,0.45,0.47,0.48,0.48,0.47,0.47,0.46,0.46,0.44,0.45,0.45,0.46,0.44,0.45,0.47,0.4,0.46,0.43,0.42,0.46,0.46,0.44,0.46,0.44,0.44,0.45,0.5,0.45,0.42,0.43,0.42,0.45,0.44,0.46,0.44,0.45,0.42,0.44,0.43,0.44,0.43,0.44,0.41,0.42,0.43,0.44,0.44,0.42,0.42,0.43,0.43,0.53,0.41,0.41,0.41,0.43,0.42,0.42,0.42,0.42,0.4,0.41,0.38,0.4,0.41,0.39,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.37,0.41,0.39,0.4,0.4,0.39,0.39,0.41,0.37,0.36,0.36,0.37,0.38,0.37,0.36,0.37,0.4,0.37,0.37,0.37,0.4,0.37,0.36,0.36,0.37,0.38,0.35,0.36,0.36,0.36,0.36,0.37,0.35,0.37,0.37,0.33,0.33,0.36,0.36,0.36,0.36,0.36,0.34,0.33,0.34,0.35,0.35,0.33,0.36,0.34,0.34,0.34,0.32,0.35,0.34,0.34,0.34,0.34,0.32,0.0,0.32,0.33,0.0,0.33,0.33,0.32,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.32,0.0,0.32,0.0,0.32,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.23
07/21/2021,1.27,0.92,0.76,0.76,0.85,0.75,0.77,0.63,0.66,0.61,0.66,0.62,0.67,0.6,0.62,0.61,0.58,0.59,0.59,0.59,0.61,0.55,0.56,0.59,0.53,0.0,0.51,0.54,0.57,0.55,0.55,0.54,0.48,0.53,0.51,0.55,0.51,0.53,0.49,0.49,0.52,0.48,0.5,0.53,0.48,0.49,0.49,0.47,0.49,0.47,0.43,0.48,0.43,0.45,0.48,0.48,0.47,0.45,0.49,0.48,0.48,0.46,0.47,0.46,0.47,0.44,0.45,0.45,0.48,0.43,0.45,0.47,0.41,0.46,0.42,0.42,0.46,0.46,0.44,0.46,0.44,0.44,0.45,0.48,0.44,0.41,0.43,0.42,0.46,0.44,0.46,0.44,0.46,0.42,0.44,0.44,0.47,0.44,0.45,0.42,0.41,0.44,0.45,0.44,0.42,0.42,0.43,0.43,0.57,0.42,0.4,0.41,0.44,0.43,0.42,0.42,0.41,0.41,0.4,0.67,0.41,0.42,0.39,0.4,0.39,0.4,0.39,0.39,0.39,0.4,0.36,0.41,0.39,0.4,0.4,0.4,0.39,0.43,0.37,0.36,0.36,0.37,0.38,0.36,0.37,0.37,0.42,0.38,0.38,0.38,0.4,0.37,0.37,0.36,0.37,0.37,0.35,0.37,0.36,0.36,0.36,0.38,0.35,0.39,0.37,0.0,0.33,0.36,0.36,0.36,0.37,0.36,0.36,0.33,0.34,0.35,0.37,0.33,0.36,0.34,0.35,0.34,0.0,0.35,0.36,0.35,0.34,0.35,0.0,0.0,0.33,0.34,0.0,0.33,0.35,0.49,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.34,0.33,0.33,0.34,0.34,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.51000000000002
07/22/2021,1.32,0.91,0.78,0.77,0.84,0.74,0.76,0.63,0.68,0.61,0.66,0.61,0.62,0.61,0.64,0.6,0.59,0.58,0.58,0.59,0.61,0.56,0.55,0.59,0.53,0.0,0.52,0.54,0.55,0.57,0.53,0.53,0.48,0.51,0.51,0.55,0.51,0.52,0.49,0.49,0.52,0.48,0.49,0.53,0.47,0.53,0.49,0.46,0.49,0.44,0.43,0.47,0.42,0.45,0.48,0.49,0.48,0.46,0.47,0.47,0.48,0.45,0.47,0.46,0.45,0.45,0.45,0.45,0.46,0.43,0.44,0.47,0.39,0.47,0.42,0.43,0.46,0.46,0.44,0.47,0.45,0.44,0.46,0.48,0.42,0.43,0.42,0.42,0.44,0.44,0.47,0.44,0.44,0.42,0.43,0.43,0.45,0.44,0.44,0.42,0.4,0.45,0.43,0.43,0.41,0.42,0.42,0.42,0.53,0.41,0.4,0.41,0.44,0.43,0.42,0.41,0.41,0.4,0.41,0.7,0.41,0.41,0.39,0.4,0.39,0.4,0.4,0.39,0.4,0.4,0.37,0.42,0.39,0.41,0.4,0.4,0.39,0.42,0.37,0.36,0.37,0.37,0.38,0.36,0.37,0.37,0.42,0.37,0.38,0.37,0.4,0.37,0.37,0.36,0.37,0.37,0.36,0.37,0.36,0.35,0.36,0.38,0.35,0.38,0.39,0.0,0.34,0.36,0.36,0.36,0.37,0.36,0.36,0.0,0.35,0.36,0.35,0.33,0.36,0.35,0.35,0.34,0.32,0.35,0.35,0.35,0.34,0.35,0.33,0.0,0.34,0.34,0.33,0.33,0.33,0.0,0.0,0.32,0.34,0.34,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.05
